"status_id","created_at","user_id","screen_name","text","source","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","retweet_status_id","retweet_text","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords"
"x1011558408674107392",2018-06-26 10:34:53,"x390273184","flowdar","@DrAxelrod_WHO @PHE_uk Come on, Dr Axelrod. There is no such thing as “a year’s worth of sugar”. Why are you sharing an article that recommends (equivalent of) 2-3 cubes of sugar a day?","Twitter for iPhone","x1011208199867944961","x908293056864116736","DrAxelrod_WHO",FALSE,FALSE,0,0,,,,,,,,,,,,,,"x908293056864116736 41822696","DrAxelrod_WHO PHE_uk","en",,,,,,,,,,,,,
"x1011558200368418816",2018-06-26 10:34:03,"x297410579","emgbeck","RT @FSRH_UK: New consensus and #survey on #ReproductiveHealth by @PHE_uk shine a light on neglected #WomensHealth area https://t.co/1KCopMj…","TweetDeck",,,,FALSE,TRUE,0,2,"survey ReproductiveHealth WomensHealth",,,,,,,,,,,,,"x558789531 41822696","FSRH_UK PHE_uk","en",,,"x1011555504798216192","New consensus and #survey on #ReproductiveHealth by @PHE_uk shine a light on neglected #WomensHealth area https://t.co/1KCopMjYQQ #statement #FSRH https://t.co/Vt5qUuiCTE",,,,,,,,,
"x1011558141648146433",2018-06-26 10:33:49,"x2647648861","fsgfvl","RT @AbrahamThePharm: MEASLES OUTBREAK 2018: I’ve Collaborated With @PHE_uk To Explain Everything You Should Know. Spread The Word

👉🏼https:…","Twitter Web Client",,,,FALSE,TRUE,0,24,,,,,,,,,,,,,,"x937739675397251073 41822696","AbrahamThePharm PHE_uk","en",,,"x1011320635224707074","MEASLES OUTBREAK 2018: I’ve Collaborated With @PHE_uk To Explain Everything You Should Know. Spread The Word

👉🏼https://t.co/ksHv6rj22O

@NHSChoices @DrJudyStone @GaviSeth @VaccinesToday @InfectiousDz @bmj_latest @jvalaball @Pharmacist_News @PeterHotez @AmeshAA @dennisdiclaudio https://t.co/fk32Oys1cu",,,,,,,,,
"x1011557866870845440",2018-06-26 10:32:43,"x2634782667","remet_r","RT @PHE_uk: This excellent report from the @RCPLondon is a timely reminder of why the NHS needs to invest in prevention work: https://t.co/…","Twitter for iPad",,,,FALSE,TRUE,0,10,,,,,,,,,,,,,,"x41822696 29943362","PHE_uk RCPLondon","en",,,"x1011538158440321025","This excellent report from the @RCPLondon is a timely reminder of why the NHS needs to invest in prevention work: https://t.co/8udpShPxtX https://t.co/a1qVHENyy7",,,,,,,,,
"x1011557614197633024",2018-06-26 10:31:43,"x17916318","CateGreaves","RT @LGAWellbeing: What do women say? Reproductive health is a public health issue. Important report and consensus statement via ⁦@PHE_uk⁩ ⁦…","Twitter for Android",,,,FALSE,TRUE,0,7,,,,,,,,,,,,,,"x605409314 41822696","LGAWellbeing PHE_uk","en",,,"x1011520883511451648","What do women say? Reproductive health is a public health issue. Important report and consensus statement via ⁦@PHE_uk⁩ ⁦@ADPHUK⁩  https://t.co/LOFtnSj5qw",,,,,,,,,
"x1011557555640860672",2018-06-26 10:31:29,"x83126702","PratikEPG","RT @ssvasan: Great to speak @TheBusinessFest’s #bioconclave on @phe_uk’s #preclinical capabilities with high consequence pathogens. Thank y…","Twitter for iPhone",,,,FALSE,TRUE,0,5,"bioconclave preclinical",,,,,,,,,,,,,"x45348282 1019407560 41822696","ssvasan TheBusinessFest PHE_uk","en",,,"x1011550629427326976","Great to speak @TheBusinessFest’s #bioconclave on @phe_uk’s #preclinical capabilities with high consequence pathogens. Thank you @epg_london for the opportunity.",,,,,,,,,
"x1011557512263426054",2018-06-26 10:31:19,"x339617432","Glos_Prepared","RT @PHE_uk: Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave…","Twitter Web Client",,,,FALSE,TRUE,0,86,"heatwave",,"bit.ly/UaQbjU","https://t.co/yorQ18ntoT","http://bit.ly/UaQbjU",,,,,,,,,"x41822696 10215212","PHE_uk NHSChoices","en",,,"x1011514331803025408","Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave https://t.co/6qjMIHrRhG",,,,,,,,,
"x1011557499307200512",2018-06-26 10:31:16,"x79020504","amritajesurasa","RT @PHE_uk: Our new edition of #PHEHealthMatters focuses on reproductive health and pregnancy planning. Find it here: https://t.co/OkUwGkrh…","Twitter for iPhone",,,,FALSE,TRUE,0,1,"PHEHealthMatters",,,,,,,,,,,,,"x41822696","PHE_uk","en",,,"x1011557161766457344","Our new edition of #PHEHealthMatters focuses on reproductive health and pregnancy planning. Find it here: https://t.co/OkUwGkrhzo https://t.co/RsJ95YZu7f",,,,,,,,,
"x1011557483255599104",2018-06-26 10:31:12,"x2186404272","KS1896","RT @PHE_uk: Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave…","Twitter for Android",,,,FALSE,TRUE,0,86,"heatwave",,"bit.ly/UaQbjU","https://t.co/yorQ18ntoT","http://bit.ly/UaQbjU",,,,,,,,,"x41822696 10215212","PHE_uk NHSChoices","en",,,"x1011514331803025408","Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave https://t.co/6qjMIHrRhG",,,,,,,,,
"x1011557225742118913",2018-06-26 10:30:11,"x588470328","DrHelenMac","RT @PHE_uk: This excellent report from the @RCPLondon is a timely reminder of why the NHS needs to invest in prevention work: https://t.co/…","Twitter for Android",,,,FALSE,TRUE,0,10,,,,,,,,,,,,,,"x41822696 29943362","PHE_uk RCPLondon","en",,,"x1011538158440321025","This excellent report from the @RCPLondon is a timely reminder of why the NHS needs to invest in prevention work: https://t.co/8udpShPxtX https://t.co/a1qVHENyy7",,,,,,,,,
"x1011557144162914305",2018-06-26 10:29:51,"x339617432","Glos_Prepared","RT @LGAcomms: Head on over to @PHE_uk for #heatwave advice for 
•health professionals
•care home managers

... as well as for advice on how…","Twitter Web Client",,,,FALSE,TRUE,0,2,"heatwave",,,,,,,,,,,,,"x159045003 41822696","LGAcomms PHE_uk","en",,,"x1011554026708766720","Head on over to @PHE_uk for #heatwave advice for 
•health professionals
•care home managers

... as well as for advice on how to 
•look after children during a heatwave
•beat the heat 

➡️ https://t.co/OUQgqPqK53 #weatheraware @LGAWellbeing https://t.co/oWIxzAPEoE",,,,,,,,,
"x1011557122352517120",2018-06-26 10:29:46,"x82612443","RCObsGyn","RT @FSRH_UK: New consensus and #survey on #ReproductiveHealth by @PHE_uk shine a light on neglected #WomensHealth area https://t.co/1KCopMj…","Twitter Web Client",,,,FALSE,TRUE,0,2,"survey ReproductiveHealth WomensHealth",,,,,,,,,,,,,"x558789531 41822696","FSRH_UK PHE_uk","en",,,"x1011555504798216192","New consensus and #survey on #ReproductiveHealth by @PHE_uk shine a light on neglected #WomensHealth area https://t.co/1KCopMjYQQ #statement #FSRH https://t.co/Vt5qUuiCTE",,,,,,,,,
"x1011557090903642112",2018-06-26 10:29:38,"x912266671871668224","KateMitchell_23","RT @PHE_uk: Look out for neighbours, family or friends who may be isolated &amp; unable to care for themselves during hot weather https://t.co/…","Twitter for iPhone",,,,FALSE,TRUE,0,357,,,,,,,,,,,,,,"x41822696","PHE_uk","en",,,"x1011198637777543169","Look out for neighbours, family or friends who may be isolated &amp; unable to care for themselves during hot weather https://t.co/yorQ18ntoT https://t.co/1v76rEWInc",,,,,,,,,
"x1011556931151024128",2018-06-26 10:29:00,"x4827568383","kirsty_waldock","Keep an out for your elderly relatives and neighbours during the #Heatwaveuk. Our research shows they struggle to detect their own body temperature changes. #staycool #hydration #excuseforanicecream @PHE_uk @RSPH_PUHE @bbchealth","Twitter for iPhone",,,,FALSE,FALSE,0,0,"Heatwaveuk staycool hydration excuseforanicecream",,,,,,,,,,,,,"x41822696 619945920 621543","PHE_uk RSPH_PUHE bbchealth","en",,,,,,,,,,,,,
"x1011556887089811456",2018-06-26 10:28:50,"x3342452651","jenidubs","RT @PHE_uk: Health and care professionals: Take a look at this blog for a useful set of tools and resources to help you promote physical ac…","Twitter for iPhone",,,,FALSE,TRUE,0,8,,,,,,,,,,,,,,"x41822696","PHE_uk","en",,,"x1011535216371011584","Health and care professionals: Take a look at this blog for a useful set of tools and resources to help you promote physical activity in your routine clinical care https://t.co/Fj7lHp1JTJ #AllOurHealth https://t.co/vIsN7c4Juv",,,,,,,,,
"x1011556825689358337",2018-06-26 10:28:35,"x370305678","VannesaArielle","RT @PHE_uk: This excellent report from the @RCPLondon is a timely reminder of why the NHS needs to invest in prevention work: https://t.co/…","Twitter for iPhone",,,,FALSE,TRUE,0,10,,,,,,,,,,,,,,"x41822696 29943362","PHE_uk RCPLondon","en",,,"x1011538158440321025","This excellent report from the @RCPLondon is a timely reminder of why the NHS needs to invest in prevention work: https://t.co/8udpShPxtX https://t.co/a1qVHENyy7",,,,,,,,,
"x1011556610454454272",2018-06-26 10:27:44,"x977985868538548224","DebbieB97743383","RT @PHE_uk: Look out for neighbours, family or friends who may be isolated &amp; unable to care for themselves during hot weather https://t.co/…","Twitter for Android",,,,FALSE,TRUE,0,357,,,,,,,,,,,,,,"x41822696","PHE_uk","en",,,"x1011198637777543169","Look out for neighbours, family or friends who may be isolated &amp; unable to care for themselves during hot weather https://t.co/yorQ18ntoT https://t.co/1v76rEWInc",,,,,,,,,
"x1011556539675697152",2018-06-26 10:27:27,"x4832329984","NHSSSCCG","RT @PHE_uk: Look out for neighbours, family or friends who may be isolated &amp; unable to care for themselves during hot weather https://t.co/…","Twitter Web Client",,,,FALSE,TRUE,0,357,,,,,,,,,,,,,,"x41822696","PHE_uk","en",,,"x1011198637777543169","Look out for neighbours, family or friends who may be isolated &amp; unable to care for themselves during hot weather https://t.co/yorQ18ntoT https://t.co/1v76rEWInc",,,,,,,,,
"x1011556492607213574",2018-06-26 10:27:16,"x515946434","AssocBfMothers","RT @aNoviceMum: @BfN_UK @HelenGrayIBCLC @VivJBennett @PHE_uk @NBHelpline @AssocBfMothers @scotgov @NCTcharity @LLLGB Yes, though I must con…","Twitter for Android",,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,"x2541662474 569130639 337877861 580896953 41822696 1006956313 515946434 46650770 126591802 1729929350","aNoviceMum BfN_UK HelenGrayIBCLC VivJBennett PHE_uk NBHelpline AssocBfMothers scotgov NCTcharity LLLGB","en",,,"x1011534929774239744","@BfN_UK @HelenGrayIBCLC @VivJBennett @PHE_uk @NBHelpline @AssocBfMothers @scotgov @NCTcharity @LLLGB Yes, though I must confess that I'd forgotten about this when I posted that tweet. Thanks for your incredible work

Dame Wendy Jones has a nice ring to it....MBE, OBE - not sure which means what. A full on royal recognition of Wendy's amazing ongoing service is more than deserved",,,,,,,,,
"x1011556476027068416",2018-06-26 10:27:12,"x254133117","StockportNHS","RT @PHE_uk: Look out for neighbours, family or friends who may be isolated &amp; unable to care for themselves during hot weather https://t.co/…","Twitter Web Client",,,,FALSE,TRUE,0,357,,,,,,,,,,,,,,"x41822696","PHE_uk","en",,,"x1011198637777543169","Look out for neighbours, family or friends who may be isolated &amp; unable to care for themselves during hot weather https://t.co/yorQ18ntoT https://t.co/1v76rEWInc",,,,,,,,,
"x1011556397895618560",2018-06-26 10:26:53,"x515946434","AssocBfMothers","RT @BfN_UK: @HelenGrayIBCLC @aNoviceMum @VivJBennett @PHE_uk @NBHelpline @AssocBfMothers @scotgov @NCTcharity @LLLGB Thank you for your lov…","Twitter for Android",,,,FALSE,TRUE,0,1,,,,,,,,,,,,,,"x569130639 337877861 2541662474 580896953 41822696 1006956313 515946434 46650770 126591802 1729929350","BfN_UK HelenGrayIBCLC aNoviceMum VivJBennett PHE_uk NBHelpline AssocBfMothers scotgov NCTcharity LLLGB","en",,,"x1011528718567735296","@HelenGrayIBCLC @aNoviceMum @VivJBennett @PHE_uk @NBHelpline @AssocBfMothers @scotgov @NCTcharity @LLLGB Thank you for your lovely words. Wendy is a wonder, and so is our helpline! We also do peer support projects in some areas offering support on wards, at groups, and in homes https://t.co/0f0CObJSLx Did you know Wendy recently won a points of light award? https://t.co/rtFt8PLdHK",,,,,,,,,
"x1011556346012028928",2018-06-26 10:26:41,"x605409314","LGAWellbeing","RT @LGAcomms: Head on over to @PHE_uk for #heatwave advice for 
•health professionals
•care home managers

... as well as for advice on how…","Twitter for iPad",,,,FALSE,TRUE,0,2,"heatwave",,,,,,,,,,,,,"x159045003 41822696","LGAcomms PHE_uk","en",,,"x1011554026708766720","Head on over to @PHE_uk for #heatwave advice for 
•health professionals
•care home managers

... as well as for advice on how to 
•look after children during a heatwave
•beat the heat 

➡️ https://t.co/OUQgqPqK53 #weatheraware @LGAWellbeing https://t.co/oWIxzAPEoE",,,,,,,,,
"x1011556314512789507",2018-06-26 10:26:33,"x16104398","RolandMillward","RT @PHE_uk: Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave…","Twitter for iPhone",,,,FALSE,TRUE,0,86,"heatwave",,"bit.ly/UaQbjU","https://t.co/yorQ18ntoT","http://bit.ly/UaQbjU",,,,,,,,,"x41822696 10215212","PHE_uk NHSChoices","en",,,"x1011514331803025408","Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave https://t.co/6qjMIHrRhG",,,,,,,,,
"x1011556269264637952",2018-06-26 10:26:23,"x2209072496","GlosTelecare","RT @PHE_uk: Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave…","Twitter Web Client",,,,FALSE,TRUE,0,86,"heatwave",,"bit.ly/UaQbjU","https://t.co/yorQ18ntoT","http://bit.ly/UaQbjU",,,,,,,,,"x41822696 10215212","PHE_uk NHSChoices","en",,,"x1011514331803025408","Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave https://t.co/6qjMIHrRhG",,,,,,,,,
"x1011555726635032576",2018-06-26 10:24:13,"x817078118","EastLancsHosp","RT @PHE_uk: Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave…","Twitter Web Client",,,,FALSE,TRUE,0,86,"heatwave",,"bit.ly/UaQbjU","https://t.co/yorQ18ntoT","http://bit.ly/UaQbjU",,,,,,,,,"x41822696 10215212","PHE_uk NHSChoices","en",,,"x1011514331803025408","Get information on protecting yourself and those most at risk in hot weather from @NHSChoices https://t.co/yorQ18ntoT #heatwave https://t.co/6qjMIHrRhG",,,,,,,,,
